store_id,product_id,total_sold,num_sales,sales_rank_in_store,is_top_10_in_store,is_top_50_in_store
store_AA,COMMON00001,119,119,135.0,0,0
store_AA,COMMON00002,548,548,127.0,0,0
store_AA,COMMON00003,4889,4889,57.0,0,0
store_AA,COMMON00004,6658,6658,37.0,0,1
store_AA,COMMON00005,4275,4275,70.0,0,0
store_AA,COMMON00006,15375,15375,7.0,1,1
store_AA,COMMON00007,4281,4281,69.0,0,0
store_AA,COMMON00008,4692,4692,61.0,0,0
store_AA,COMMON00009,4511,4511,64.0,0,0
store_AA,COMMON00010,4257,4257,71.0,0,0
store_AA,COMMON00011,12440,12440,19.0,0,1
store_AA,COMMON00012,1542,1542,118.0,0,0
store_AA,COMMON00013,13512,13512,12.0,0,1
store_AA,COMMON00014,2274,2274,102.0,0,0
store_AA,COMMON00015,5082,5082,52.0,0,0
store_AA,COMMON00016,4920,4920,56.0,0,0
store_AA,COMMON00017,9418,9418,27.0,0,1
store_AA,COMMON00018,4151,4151,73.0,0,0
store_AA,COMMON00019,5794,5794,44.0,0,1
store_AA,COMMON00020,4780,4780,58.0,0,0
store_AA,COMMON00021,2005,2005,109.0,0,0
store_AA,COMMON00022,4676,4676,62.0,0,0
store_AA,COMMON00023,7177,7177,35.0,0,1
store_AA,COMMON00024,4452,4452,67.0,0,0
store_AA,COMMON00025,5788,5788,45.0,0,1
store_AA,COMMON00026,2381,2381,97.0,0,0
store_AA,COMMON00027,1879,1879,113.0,0,0
store_AA,COMMON00028,12922,12922,15.0,0,1
store_AA,COMMON00029,3285,3285,85.0,0,0
store_AA,COMMON00030,2833,2833,89.0,0,0
store_AA,COMMON00031,122,122,134.0,0,0
store_AA,COMMON00032,9282,9282,29.0,0,1
store_AA,COMMON00033,2183,2183,104.0,0,0
store_AA,COMMON00034,4697,4697,60.0,0,0
store_AA,COMMON00035,7713,7713,34.0,0,1
store_AA,COMMON00036,16279,16279,2.0,1,1
store_AA,COMMON00037,3994,3994,75.0,0,0
store_AA,COMMON00038,2591,2591,95.0,0,0
store_AA,COMMON00039,2352,2352,99.0,0,0
store_AA,COMMON00040,4497,4497,66.0,0,0
store_AA,COMMON00041,4935,4935,55.0,0,0
store_AA,COMMON00042,12730,12730,16.0,0,1
store_AA,COMMON00043,5925,5925,42.0,0,1
store_AA,COMMON00044,2123,2123,107.0,0,0
store_AA,COMMON00045,10291,10291,24.0,0,1
store_AA,COMMON00046,3812,3812,77.0,0,0
store_AA,COMMON00047,6227,6227,39.0,0,1
store_AA,COMMON00048,438,438,129.0,0,0
store_AA,COMMON00049,2792,2792,90.0,0,0
store_AA,COMMON00050,6649,6649,38.0,0,1
store_AA,COMMON00051,2180,2180,105.0,0,0
store_AA,COMMON00052,2685,2685,94.0,0,0
store_AA,COMMON00053,10895,10895,23.0,0,1
store_AA,COMMON00054,1185,1185,121.0,0,0
store_AA,COMMON00055,11275,11275,22.0,0,1
store_AA,COMMON00056,11612,11612,21.0,0,1
store_AA,COMMON00057,10084,10084,25.0,0,1
store_AA,COMMON00058,2233,2233,103.0,0,0
store_AA,COMMON00059,16324,16324,1.0,1,1
store_AA,COMMON00060,2281,2281,101.0,0,0
store_AA,COMMON00061,14992,14992,9.0,1,1
store_AA,COMMON00062,599,599,125.0,0,0
store_AA,COMMON00063,13042,13042,14.0,0,1
store_AA,COMMON00064,569,569,126.0,0,0
store_AA,COMMON00065,1982,1982,110.0,0,0
store_AA,COMMON00066,2790,2790,91.0,0,0
store_AA,COMMON00067,1006,1006,124.0,0,0
store_AA,COMMON00068,497,497,128.0,0,0
store_AA,COMMON00069,5489,5489,50.0,0,1
store_AA,COMMON00070,5057,5057,53.0,0,0
store_AA,COMMON00071,5573,5573,46.0,0,1
store_AA,COMMON00072,2718,2718,92.0,0,0
store_AA,COMMON00073,4654,4654,63.0,0,0
store_AA,COMMON00074,239,239,131.0,0,0
store_AA,COMMON00075,5326,5326,51.0,0,0
store_AA,STORE_AA_BAK0002,1646,1646,117.0,0,0
store_AA,STORE_AA_BAK0024,2356,2356,98.0,0,0
store_AA,STORE_AA_BAK0034,4719,4719,59.0,0,0
store_AA,STORE_AA_BAK0037,2578,2578,96.0,0,0
store_AA,STORE_AA_BAK0050,4983,4983,54.0,0,0
store_AA,STORE_AA_BAK0052,3042,3042,88.0,0,0
store_AA,STORE_AA_BEV0007,6011,6011,40.0,0,1
store_AA,STORE_AA_BEV0008,3397,3397,83.0,0,0
store_AA,STORE_AA_BEV0022,1972,1972,111.0,0,0
store_AA,STORE_AA_BEV0029,5983,5983,41.0,0,1
store_AA,STORE_AA_BEV0035,4429,4429,68.0,0,0
store_AA,STORE_AA_BEV0042,6914,6914,36.0,0,1
store_AA,STORE_AA_BEV0044,2712,2712,93.0,0,0
store_AA,STORE_AA_DAI0003,155,155,133.0,0,0
store_AA,STORE_AA_DAI0006,1889,1889,112.0,0,0
store_AA,STORE_AA_DAI0011,13887,13887,11.0,0,1
store_AA,STORE_AA_DAI0016,3970,3970,76.0,0,0
store_AA,STORE_AA_DAI0020,215,215,132.0,0,0
store_AA,STORE_AA_DAI0040,1212,1212,120.0,0,0
store_AA,STORE_AA_DAI0046,3637,3637,82.0,0,0
store_AA,STORE_AA_DAI0047,14296,14296,10.0,1,1
store_AA,STORE_AA_DAI0054,1707,1707,115.0,0,0
store_AA,STORE_AA_DAI0058,8705,8705,32.0,0,1
store_AA,STORE_AA_FRO0018,5516,5516,47.0,0,1
store_AA,STORE_AA_FRO0019,16193,16193,4.0,1,1
store_AA,STORE_AA_FRO0026,15543,15543,5.0,1,1
store_AA,STORE_AA_FRO0053,9407,9407,28.0,0,1
store_AA,STORE_AA_FRO0055,11799,11799,20.0,0,1
store_AA,STORE_AA_MEA0009,2313,2313,100.0,0,0
store_AA,STORE_AA_MEA0012,5513,5513,48.0,0,1
store_AA,STORE_AA_MEA0032,1116,1116,122.0,0,0
store_AA,STORE_AA_MEA0041,4090,4090,74.0,0,0
store_AA,STORE_AA_MEA0043,12583,12583,18.0,0,1
store_AA,STORE_AA_MEA0045,9054,9054,30.0,0,1
